Question Number,Title,Questions,Option,Reason
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,It would allow the EU to act more decisively and swiftly on critical international matters.
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,Ukraine's membership strengthens the EU and supports Ukraine's stability and future development.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,"Intensive farming harms the environment and animal welfare, which justifies ending these subsidies."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree,"It could ensure a more stable and independent EU budget, fostering shared European priorities and initiatives."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access undermines the principle of free movement and equal treatment within the EU.
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase the legitimacy and accountability of the Commission President in the EU.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Platforms' self-regulation is insufficient; independent oversight is needed to combat disinformation effectively.
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Funding should be contingent on upholding EU principles; it protects the Union's integrity and citizens' rights.
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,Protects domestic industries and encourages fair competition in the electric vehicle market.
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"The EU should prioritize peace-building and humanitarian efforts, not funding weapons creation."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Everyone should have equal rights; marriage should be a fundamental right, regardless of sexual orientation."
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,Limiting the retirement age restricts individual choice and doesn't account for varying physical capabilities and financial needs.
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,"Public funds should support cleaner energy, not contribute to environmental pollution from coal."
21,EU Common Army,The EU should have a common army.,Disagree,National sovereignty and differing military priorities make a unified EU army impractical at this time.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It could streamline social security benefits and cross-border worker identification, improving efficiency and fairness."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Aid leverage could encourage cooperation on returns, managing migration flows and deterring abuse of the system."
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Continued sanctions pressure Russia to cease aggression and adhere to international law.
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund ensures resources for border security, enhancing EU's ability to manage migration and protect its borders."
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding accelerates innovation, making sustainable technologies more accessible and benefiting the environment long-term."
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Facilitating skilled worker mobility benefits the EU economy and addresses labor shortages effectively.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Eco-friendly farming benefits the environment and deserves financial backing for sustainability and wider adoption.
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with defensive weapons is crucial for its self-defense against ongoing aggression.
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit workers, hindering fair pay and perpetuating inequities, requiring immediate change."
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,Full public access could compromise sensitive business information and unfairly disadvantage companies.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It promotes equity, reduces energy poverty, and accelerates the shift to sustainable energy."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"This would improve efficiency, reduce costs, and promote standardization across the EU's military capabilities."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,"A complete ban could negatively impact farmers and requires safer, effective alternatives."
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,"Financial need creates barriers, and differentiated scholarships ensure equitable access to study abroad opportunities."
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is vital for informed citizenship in a globalized and interconnected world.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"It promotes fairness and combats discrimination, ensuring equal pay for equal work performed."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"EU support promotes child development, supports working parents, and fosters social equity across member states."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,Increased costs incentivize emissions reduction and promote environmentally friendly practices within companies.
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU interest ensures media plurality, accountability, and adherence to common European values within public broadcasting."
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers are needed for OLAF to effectively investigate and prosecute financial crimes within the EU.
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,"Tighter rules can promote fair competition, prevent market distortions, and encourage innovation across the EU."
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,"Transparency helps consumers make informed choices, supporting sustainable practices and reducing environmental damage."
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,"Animal welfare is paramount, and export often leads to inhumane conditions and suffering for the animals."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining programs can equip workers with new skills, boosting employment and economic competitiveness across the EU."
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Recognizing a third gender promotes inclusivity and acknowledges diverse gender identities within the EU.
