Question Number,Title,Questions,Option,Reason
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access contradicts EU principles of free movement and equal treatment for all member state citizens.
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,I believe there are other ways to finance the budget before implementing new taxes for the EU.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Penalizing companies promotes fair practices and helps close the gender pay gap, fostering equality and justice."
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,Prioritizing animal welfare and reducing suffering during long journeys is ethically important.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Allowing solely platforms to decide risks biased enforcement and insufficient action against widespread misinformation.
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Enhanced powers for OLAF would allow for more effective investigation and prosecution of financial crimes.
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tighter rules can foster fair competition and prevent market distortions within the EU.
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It would allow quicker, more decisive action and prevent single nations from blocking crucial decisions."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining boosts employability, supports economic growth, and helps workers adapt to changing job markets."
21,EU Common Army,The EU should have a common army.,Disagree,"A common army would be costly, politically complex, and potentially undermine national sovereignty."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,"It allows for increased government spending during economic downturns, stimulating growth and providing relief."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"The EU budget should focus on peace and cooperation, not on funding military weapons development."
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,Some data is sensitive. Public access could compromise privacy and competitive advantages.
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,This could protect domestic industries and level the playing field for local manufacturers.
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,It incentivizes emission reduction and promotes sustainable practices for a healthier environment.
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,"Ukraine's EU membership strengthens democracy, stability, and provides economic opportunities for its citizens."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Everyone deserves equal rights and the freedom to marry the person they love, regardless of gender."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"EU support can enhance accessibility and quality, promoting child development and supporting working families."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,"Rural areas often face healthcare shortages, and more funding can help address these disparities."
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit young workers, hindering fair access to professional experience and equal opportunities."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement enhances efficiency, reduces costs, and fosters greater military interoperability among member states."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU interest helps ensure media plurality, quality, and independence across member states, crucial for informed citizens."
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Facilitating skilled migration boosts economies and fills labor gaps within the EU.
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,A complete ban could negatively impact agriculture. More research is needed to understand risks.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"A single number would streamline cross-border work & benefits, increasing efficiency and simplifying administration."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"Yes, it could enhance security and better manage migration flows at the EU's external borders."
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,Transparency helps consumers make informed choices and incentivizes sustainable production practices.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It's crucial for energy equity and climate goals, easing financial burdens and promoting clean energy access."
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding spurs innovation, reduces costs, and accelerates the adoption of vital sustainable solutions."
