Question Number,Title,Questions,Option,Reason
31,Restriction of the right to strike,The right to strike for employees in critical infrastructure companies is to be restricted by law.,Agree,Critical infrastructure disruptions can severely impact public safety; restrictions may be necessary for essential services.
36,Compulsory social year,A compulsory social year should be introduced for young adults.,Agree,"It could foster empathy, provide valuable experience, and contribute positively to communities."
14,Competencies in School Policy,The federal government should be given more powers in school policy.,Disagree,Local control allows for better adaptation to specific community needs and diverse educational approaches.
2,Renewable Energies,The expansion of renewable energies should continue to be financially supported by the state.,Agree,"State support accelerates development, making renewables more accessible and competitive with fossil fuels."
29,Volunteers,Voluntary work should be credited towards future pensions.,Agree,"Volunteering provides valuable societal contributions, deserving recognition in retirement benefits for their efforts."
7,Automated facial recognition,The Federal Police should be allowed to use software for automated facial recognition at railway stations.,Agree,"It could enhance security and help prevent crime, but with strict regulations and oversight to protect privacy."
18,Organic Farming,Organic farming should be promoted more than conventional farming.,Agree,Organic farming's environmental benefits and reduced chemical use justify increased promotion and support.
23,Work permit for asylum seekers,Asylum seekers in Germany should receive a work permit immediately after submitting their application.,Disagree,Immediate work permits could strain resources and potentially incentivize unfounded asylum claims.
6,Limitation of rental prices,"For new rentals, rental prices should continue to be capped by law.",Disagree,Capping prices can stifle new construction and reduce the availability of rental units in the long run.
35,Second citizenship,"In Germany, it should generally continue to be possible to have a second citizenship in addition to German one.",Agree,Dual citizenship allows for broader opportunities and doesn't necessarily diminish national identity.
19,Projects against right-wing extremism,The federal government should increase its support for projects against right-wing extremism.,Agree,"Combating extremism is crucial for societal safety, and increased funding can help address the issue effectively."
8,Energy-intensive companies compensation,Energy-intensive companies should receive financial compensation from the state for their electricity costs.,Disagree,Compensation could distort market incentives and may not be the most efficient use of public funds.
32,Referendums,"In Germany, referendums should be possible at the federal level.",Agree,"Direct democracy can empower citizens and increase government accountability, fostering greater participation in decisions."
37,Fossil fuels,New heating systems should continue to be allowed to run entirely on fossil fuels (e.g. gas or oil) in the future.,Disagree,Transitioning away from fossil fuels is crucial for mitigating climate change and promoting sustainability.
33,Criminal law for children under 14,Children under the age of 14 should be able to be prosecuted.,Disagree,Children under 14 often lack the maturity to fully understand the consequences of their actions.
4,Speed limit on motorways,A general speed limit should apply on all motorways.,Agree,"It promotes safety and reduces accidents, making travel more predictable and potentially less dangerous."
25,35-hour week,"In Germany, the 35-hour week is to be established as the statutory standard working time for all employees.",Neutral,I lack sufficient information to assess the potential impact of this policy on all employees.
20,Control of suppliers,Companies should continue to be required to monitor compliance with human rights and environmental protection among all suppliers.,Agree,"It ensures ethical sourcing and prevents exploitation, promoting sustainability and responsible business practices across the supply chain."
24,Rejection of climate targets,Germany should abandon the goal of becoming climate neutral.,Disagree,Abandoning climate neutrality undermines global efforts and disregards the urgency of climate change mitigation.
1,Support for Ukraine,Germany should continue to provide military support to Ukraine.,Agree,Supporting Ukraine's defense against aggression is crucial for European stability and international law.
21,Parent-dependent BAfö,The BAföG training grant will continue to be paid depending on the parents’ inco,Agree,"BAföG eligibility and amount are directly influenced by parental income, as per current regulations."
13,Raising the top tax rate,The top tax rate on income is to be increased.,Neutral,The impact depends on various economic factors and the specific details of the increase.
26,Abortions after counseling,Abortions in the first three months of pregnancy should continue to be legal only after counseling.,Agree,"Counseling ensures informed decisions, potentially reducing emotional distress and promoting responsible choices regarding the pregnancy."
15,Arms exports to Israel,Germany should continue to be allowed to export military equipment to Israel.,Agree,"Israel has a right to defend itself, and Germany's exports can contribute to that defense."
9,Pension after 40 years of contributions,All employees should be able to retire without deductions after.,Agree,"Forty years of contributions warrants full benefits, recognizing long-term dedication and service to the company."
3,Cancellation of the Citizen’s Allowan,Citizens’ benefit are to be withdrawn from those who repeatedly reject job offer,Agree,"It incentivizes job seeking and prevents abuse of the system, promoting workforce participation and responsibility."
11,Recruitment of skilled workers,Germany should continue to promote the recruitment of skilled workers from abroad.,Agree,"Skilled workers contribute to economic growth and fill labor shortages, benefiting Germany's overall prosperity."
12,Use of nuclear energy,Germany should again use nuclear energy to generate electricity.,Disagree,Nuclear energy poses risks and Germany has viable renewable energy alternatives to pursue.
22,Debt brake,The debt brake in the Basic Law should be retained.,Agree,"It promotes fiscal responsibility and prevents excessive government borrowing, ensuring long-term financial stability."
5,Rejection of asylum seekers,Asylum seekers who have entered the country via another EU country will be turned away at the German border.,Agree,This aligns with existing EU regulations and Germany's policies regarding asylum applications and responsibility.
38,Increase in the minimum wage,The statutory minimum wage is to be increased to 15 euros by 2026 at the latest.,Neutral,"The impact is complex, potentially affecting employment and inflation, requiring careful consideration of various factors."
34,Abolition of customs duties,Germany should campaign for the abolition of increased EU tariffs on Chinese electric cars.,Disagree,Tariffs protect domestic industries; removing them could harm German car manufacturers and jobs.
30,Allocation of property tax,The property tax should continue to be passed on to tenants.,Disagree,Tenants shouldn't bear the direct burden; landlords should factor it into rent calculations.
16,Health insurance companies,All citizens should be required to be insured in statutory health insurance funds.,Agree,This ensures universal access to healthcare and spreads the financial risk across a larger population.
10,Article 38 of the Basic Law,The introductory sentence of the Basic Law should continue to contain the phrase “responsibility before God,Neutral,"This is a matter of personal belief and interpretation, so I cannot definitively agree or disagree."
28,Rail before road,"When expanding transport infrastructure, rail should have priority over road.",Agree,Rail offers greater efficiency for mass transit and reduces environmental impact compared to road transport.
17,Abolition of the women’s quo,The statutory quota for women on executive boards and supervisory boards of listed companies is to be abolished.,Disagree,"Removing quotas could hinder progress towards gender equality in leadership roles, which is not ideal."
27,National currency,The euro is to be replaced by a national currency in Germany.,Disagree,"Replacing the euro would disrupt the EU economy and Germany's financial stability, which is undesirable."
