Question Number,Title,Questions,Option,Reason
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase democratic legitimacy and accountability for the EU's executive body.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,"Skilled worker mobility boosts economies, addresses labor shortages, and promotes international collaboration within the EU."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,"A complete ban would harm farmers, potentially impacting food supply and requiring costly alternatives, lacking sufficient evidence."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often lack resources; increased funding can improve access to vital healthcare services.
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,Oversight ensures accountability and protects journalistic independence across diverse EU media landscapes.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding spurs innovation, creating economic opportunities and accelerating the adoption of cleaner energy."
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Equal pay is a fundamental right, and penalties help enforce fairness and deter discrimination."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,Investing in early childhood education provides equal opportunities and benefits the EU's future.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Ecological practices benefit the environment and deserve financial support to encourage their adoption.
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,It limits individual freedom and ignores varying physical/mental abilities to work effectively.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It promotes equitable access to sustainable energy, reducing energy poverty and contributing to climate goals."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,"Limiting aid hinders free movement and potentially disadvantages vulnerable individuals, contradicting EU principles."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,"I believe national contributions should remain the primary source, avoiding further tax burdens on citizens."
21,EU Common Army,The EU should have a common army.,Disagree,National sovereignty is important; a common army could undermine individual member states' defense capabilities.
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"Protects domestic industry, fosters competition, and addresses potential unfair trade practices."
