Question Number,Title,Questions,Option,Reason
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Aid leverage can encourage cooperation on returns, addressing the root cause of the immigration issue."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,Investing in early childhood education benefits families and promotes social inclusion across the EU.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,"Subsidies often incentivize unsustainable practices, impacting the environment and smaller farmers negatively."
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,"Supporting ecological practices promotes sustainability and benefits the environment, justifying financial aid."
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Funding should be conditional to uphold the core principles and protect EU's values of law and justice.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It would streamline cross-border social security, improving efficiency and preventing fraud across member states."
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Russia's actions necessitate continued pressure to deter further aggression and seek a peaceful resolution.
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Coal contributes heavily to climate change and transitioning to cleaner energy is environmentally responsible.
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,"Understanding the EU fosters informed citizenship and prepares students for a globalized world, fostering critical thinking."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,It incentivizes reduced emissions and funds climate initiatives to mitigate environmental impact.
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,This protects animal welfare and aligns with the EU's animal welfare standards.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,"This would boost EU economies and fill labor gaps, fostering growth and innovation across the bloc."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"This could protect domestic industries and ensure fair competition, potentially boosting local EV markets."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,Retraining supports a skilled workforce and economic growth across the EU member states.
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,The EU budget should focus on peaceful initiatives and not on the production of weaponry.
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with weapons is crucial for its defense against Russian aggression and ensuring its sovereignty.
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Equality and fundamental human rights should extend to all, regardless of sexual orientation, across the EU."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree,The potential health risks and environmental damage associated with glyphosate outweigh its benefits.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,It ensures equitable access to clean energy and reduces energy poverty for vulnerable populations.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,"While they have a role, external oversight is needed to ensure consistent and effective moderation."
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,Membership would provide significant economic and security benefits for Ukraine and the EU.
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,Unpaid internships often exploit young workers and limit access for those without financial support.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Fair compensation is crucial, and penalties incentivize companies to address gender pay gaps, promoting equality."
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,"This promotes equity, ensuring equal opportunities for international study regardless of financial background."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU interest ensures media pluralism and independence, vital for democracy and informed citizenry across the union."
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,"Increased transparency empowers consumers to make sustainable choices, supporting environmentally responsible practices."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access contradicts the principle of free movement and equal treatment within the EU.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding can accelerate innovation and deployment, combating climate change and boosting green economies."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"Investing in border security, with a dedicated fund, is crucial for managing migration and ensuring EU safety."
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"This would increase efficiency and allow for quicker, more decisive action on critical international issues."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tighter rules could foster fair competition and prevent market distortions within the EU.
21,EU Common Army,The EU should have a common army.,Disagree,National sovereignty should be preserved; a unified army risks overreach and inefficiency across diverse nations.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Recognizing non-binary identities in official documents promotes inclusivity and respects individual self-identification.
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree,"It allows for more financial stability and independence, potentially funding crucial EU programs."
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase democratic legitimacy and accountability for the EU's executive branch.
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,Imposing a mandatory retirement age restricts individual freedom and may create labor market inefficiencies.
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often face healthcare disparities; more funding can improve access and quality.
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement fosters interoperability, reduces costs, and strengthens European defense capabilities overall."
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers for OLAF will lead to more effective investigations and a reduction in financial crimes within the EU.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Public access could compromise sensitive business strategies and intellectual property, hindering competitiveness."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Flexibility could allow for economic stimulus and address specific national challenges more effectively.
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,"Privacy concerns and potential for misuse outweigh benefits in public spaces, warranting a ban."
