Question Number,Title,Questions,Option,Reason
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,"EU membership would foster stability, economic growth, and support Ukraine's democratic aspirations."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Agree,"Countries should prioritize their own citizens' needs, though some EU collaboration is still necessary."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"Such a fund could enhance border security, manage migration, and protect the EU from external threats effectively."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"Protects domestic industry and encourages fair competition, potentially benefiting local consumers in the long run."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining programs help workers adapt to changing job markets, boosting employment and economic growth across the EU."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU oversight helps ensure media independence, pluralism, and accountability, which is crucial for democracy."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Countries should cooperate on immigration, and aid leverage can encourage them to fulfill their obligations."
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,Privacy concerns outweigh potential benefits; widespread surveillance could chill fundamental freedoms.
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,"Higher deficits can stimulate economies, especially during downturns, supporting growth and mitigating crises."
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,"Imposing a hard cap disregards individual circumstances and life expectancies, hindering flexibility and choice."
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,This promotes equitable access by providing more financial support to those who need it most.
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,Unpaid internships exploit young workers and limit access to opportunities based on financial means.
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree,"Evidence suggests potential harm to human health and the environment, warranting a precautionary approach."
28,European Social Security Number,The EU should introduce a European social security number.,Agree,It would simplify cross-border employment and access to social services within the EU.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Incentivizing sustainable practices benefits the environment and promotes long-term agricultural viability.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It promotes equitable access to sustainable energy, reducing energy poverty and supporting environmental goals."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement would increase efficiency, reduce costs, and improve interoperability among member states."
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase the legitimacy and accountability of the Commission President to citizens.
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Marriage equality fosters inclusivity, upholds human rights, and allows all citizens to share in legal benefits."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"Investing in childcare fosters early development, supports working parents, and promotes gender equality across the EU."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"EU funds should prioritize social welfare and sustainable development, not the creation of military hardware."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"Companies causing pollution should bear the cost, incentivizing reduced emissions and promoting sustainability."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,"I believe member states should control fiscal policy and determine contributions, avoiding additional taxes."
21,EU Common Army,The EU should have a common army.,Disagree,A common army undermines national sovereignty and could face logistical and political challenges.
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Transitioning to cleaner energy sources is crucial to combat climate change and its associated environmental harms.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,Penalizing companies promotes fairness and encourages them to address and eliminate pay disparities.
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with more weapons is essential for its defense against Russian aggression.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Recognising a third gender category is inclusive and respects diverse gender identities within the EU.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,"Facilitates economic growth, addresses labor shortages, and promotes cultural exchange within the EU."
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Sanctions pressure Russia to end its aggression in Ukraine and uphold international law.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Independent oversight is needed to ensure consistent and unbiased handling of misinformation.
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,"Tighter rules promote fair competition and prevent market distortions, benefiting the EU economy overall."
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,"Transparency empowers consumers to make informed choices, promoting more sustainable food consumption habits."
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers enable more effective investigations and contribute to safeguarding EU funds and integrity.
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is vital for informed citizenship and future global engagement.
