Question Number,Title,Questions,Option,Reason
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,"This promotes equity, ensuring students with financial limitations have equal access to opportunities."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Flexibility could help manage economic shocks and allow for necessary investments in specific states.
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Maintaining the rule of law is fundamental; funding should not support its erosion within the EU.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,"Subsidies support unsustainable practices, contributing to environmental damage; phasing them out is beneficial."
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,"Public funds should support cleaner energy, not further environmental damage from coal power."
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,Ukraine's EU membership strengthens European unity and supports Ukraine's economic and political development.
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,"Animal welfare should be prioritized, as live exports often lead to suffering and inhumane conditions."
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It could streamline benefits access and labor mobility across the EU, improving efficiency for citizens."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"The EU budget should prioritize peace-building and humanitarian efforts, not the development of weapons."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining boosts employability, addresses skill gaps, and promotes a more adaptable and resilient workforce."
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Supporting ecological practices incentivizes sustainable farming and benefits the environment long-term.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,Public access risks competitive disadvantage and breaches data privacy for sensitive company information.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Independent oversight is crucial; self-regulation alone risks prioritizing profit over truth and public safety.
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Sanctions are necessary to pressure Russia to cease its aggression and uphold international law.
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund ensures resources for effective border security, crucial for EU's sovereignty and safety."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Everyone deserves equal rights, and denying same-sex couples marriage is discriminatory and unfair."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement fosters interoperability, reduces costs, and strengthens European defense capabilities."
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,Penalizing unfair practices promotes equality and holds companies accountable for fair compensation.
21,EU Common Army,The EU should have a common army.,Disagree,National sovereignty and differing military priorities would make a unified EU army challenging to manage effectively.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,"It provides recognition and inclusivity for non-binary individuals, promoting equality across the EU."
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,"It poses significant privacy risks and potential for misuse, outweighing any perceived benefits."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"EU support would improve accessibility, quality, and affordability, benefiting children and families across member states."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,I believe member states should retain control over taxation and allocation of financial resources.
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often face healthcare shortages and require additional support to improve access.
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, supporting environmental sustainability and mitigating climate change impacts."
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizenship and global awareness in today's interconnected world.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding accelerates innovation and deployment, supporting a vital shift toward environmental sustainability and economic growth."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"Protects domestic industries, encourages competition, and addresses potential trade imbalances."
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers enable more effective investigation and prosecution of financial crimes within the EU.
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,"Complete bans may stifle innovation and effective pest control, and alternatives need careful consideration."
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,"Skilled workers contribute to economic growth and fill crucial labor gaps, benefiting the EU overall."
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,A hard cap is inflexible; individual circumstances and economic realities warrant a flexible approach to retirement.
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit labor, hinder accessibility, and devalue the work performed by trainees."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access contradicts EU principles of free movement and non-discrimination among member states' citizens.
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,This would empower consumers to make informed choices and drive more sustainable food production practices.
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tightening rules can promote fair competition and prevent market distortions within the EU.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It promotes equity and ensures everyone benefits from the energy transition, reducing energy poverty."
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,Faster decision-making and stronger unified actions are needed in critical areas like security.
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with more weaponry is vital for their defense against the ongoing invasion.
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase democratic legitimacy and accountability for the EU's executive branch.
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU oversight can help ensure PSM independence, quality, and adherence to democratic values across member states."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,Aid should be conditional; countries refusing repatriation should face consequences to manage immigration effectively.
