Question Number,Title,Questions,Option,Reason
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, promoting environmental sustainability and potentially driving innovation in cleaner technologies."
21,EU Common Army,The EU should have a common army.,Agree,A unified army would enhance EU's global influence and improve collective security efforts within the continent.
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,A fixed retirement age limits individual choice and could lead to workforce shortages.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Penalizing unequal pay promotes fairness and incentivizes companies to correct discriminatory practices, ensuring equity."
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Increased powers could lead to more effective investigations and help protect EU funds.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Increased labor mobility benefits both workers and the EU's economy through filling skills gaps.
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tighter rules can foster fair competition and prevent market distortions within the European Union.
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree,"It could provide a more stable and independent funding source, reducing reliance on member state contributions."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,"Rural areas often lack resources, and increased funding would improve healthcare access and quality."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Flexibility allows for necessary spending during economic downturns and supports growth initiatives for member states.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public investment can accelerate innovation, reduce costs, and drive widespread adoption for a sustainable future."
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,Potential for misuse and surveillance outweighs the benefits of facial recognition in public spaces.
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It allows for faster decisions and a more unified front on critical issues, enhancing the EU's global influence."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Marriage should be a fundamental right, available to all regardless of sexual orientation or gender identity."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"EU support fosters early childhood development, benefiting families and promoting gender equality in the workforce."
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Platforms' self-regulation is insufficient; external oversight and clear standards are needed for fair action.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Ecological practices benefit the environment and justify increased financial support for farmers.
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Aid leverage can incentivize cooperation on immigration, fostering a more manageable and fair system for all."
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Funding should be contingent on adherence to the rule of law to maintain the EU's integrity and values.
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,Prioritizing animal welfare and ethical concerns outweighs economic benefits of live animal export.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It ensures equitable access, reduces energy poverty, and accelerates the adoption of sustainable practices."
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,"Continued sanctions pressure Russia to end its aggression and uphold international law, thus deterring future conflicts."
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"Streamlines social security benefits across EU, facilitating labor mobility and reducing administrative burdens."
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,"Subsidies fuel unsustainable practices, harming the environment and small farmers; change is needed."
