Question Number,Title,Questions,Option,Reason
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizenship and global awareness in today's interconnected world.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,Discouraging discriminatory practices is vital for promoting fairness and gender equality in the workplace.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Increased mobility fosters economic growth and addresses labor shortages across the EU.
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,"Prioritizing animal welfare and ethical considerations, this reduces potential suffering during transport and slaughter."
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It would streamline processes, improve cross-border benefits access, and enhance fraud prevention within the EU."
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Maintaining sanctions is vital for pressuring Russia to cease aggression and uphold international law.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Sustainable technologies are vital for the future, requiring public funds for development and widespread implementation."
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,Financial aid should prioritize those with the greatest need to ensure equitable access and opportunity.
21,EU Common Army,The EU should have a common army.,Disagree,A common army could undermine national sovereignty and potentially increase military spending.
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Withholding funds holds members accountable and upholds the integrity of the EU's legal framework.
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"This would protect domestic manufacturers, fostering competition and innovation within the local market."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Limiting access contradicts EU principles of free movement and equal treatment for all citizens.
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"Yes, it enhances security, controls migration, and strengthens the EU's ability to protect itself."
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,"Unfettered power risks amplifying harmful narratives, requiring external oversight and standards to protect users."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement enhances efficiency, reduces costs, and fosters interoperability among EU member states."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU interest ensures media pluralism, independence, and quality, fostering informed citizenry across member states."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often lack resources and have greater need for accessible healthcare services.
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,"Facial recognition poses significant privacy risks and potential for misuse, warranting a ban in public areas."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Aid leverage can encourage cooperation on returns, addressing both humanitarian concerns and immigration control."
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with more weapons helps them defend against Russian aggression and protect civilians.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,"It promotes inclusivity and acknowledges diverse gender identities, reflecting evolving societal understandings of gender."
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,Unpaid internships exploit labor and create barriers for those without financial support; it's unfair.
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It allows for more effective action, preventing individual states from blocking essential collective responses."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"The EU budget should prioritize peace, diplomacy, and humanitarian aid, not weapons development."
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,It promotes energy equity and helps vulnerable households afford the necessary shift to cleaner energy.
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,"Membership would strengthen Ukraine, promote stability, and align it with democratic values and economic integration."
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Some commercial data contains sensitive information that, if public, could harm a company's competitive edge."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"Early childhood education & care are crucial, promoting social equality and future workforce participation within EU."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,"Tighter rules prevent unfair competition, foster innovation, and ensure a level playing field for all businesses."
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers would enable OLAF to more effectively investigate and combat financial crimes across the EU.
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree,"Glyphosate's potential health risks and environmental harm warrant a precautionary ban, protecting public health."
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Public funds should prioritize sustainable energy to mitigate climate change and promote renewable resources.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Intensive farming harms the environment and animal welfare; subsidies should support sustainable practices instead.
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,This transparency empowers consumers to make informed choices and encourages sustainable production practices within the EU.
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree,Diversifying funding sources can stabilize the budget and lessen reliance on member state contributions.
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, encouraging sustainable practices and mitigating climate change's negative impacts."
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,"Direct election increases democratic legitimacy and accountability, giving citizens more direct influence over leadership."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,Everyone deserves equal rights and the freedom to marry regardless of their sexual orientation.
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,Retraining programs help workers adapt to changing job markets and boost overall economic competitiveness within the EU.
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,It would limit individual choice and potentially remove skilled workers from the workforce.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Supporting ecological practices encourages environmental sustainability and benefits society in the long run.
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,"This allows flexibility for economic responses, especially during crises, potentially boosting growth and stability."
