Question Number,Title,Questions,Option,Reason
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,"I believe other funding sources should be prioritized, such as existing contributions and budget reallocation."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,"Giving flexibility could help states address economic challenges and stimulate growth, benefiting the overall union."
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase democratic legitimacy and accountability of the Commission's President to citizens.
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,The EU can ensure media plurality and access to information crucial for informed citizenship and democracy.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It fosters energy equity, reduces fuel poverty, and accelerates the EU's clean energy transition goals."
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizenship in a globally connected world; it fosters civic engagement.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Public access could compromise sensitive commercial information, intellectual property, and competitive advantage."
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Ecological practices benefit the environment and deserve financial backing for sustainability.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Increased labor mobility could help address skills shortages and boost economic growth within the EU.
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,"This promotes equity, ensuring students with financial constraints can access the program."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"Investing in early childhood education benefits children, families, and contributes to economic development."
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Including a third gender recognizes diverse identities and promotes inclusivity within the European Union.
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Continued sanctions pressure Russia to cease aggression and uphold international law.
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers allow for more effective investigation and prosecution of financial crimes within the EU.
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,"Provides consumers with vital information, enabling more informed purchasing decisions and promoting sustainability."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree,Potential health risks and environmental concerns outweigh the benefits of glyphosate use in agriculture.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Platforms require external oversight to ensure consistent and effective measures against harmful disinformation.
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,"It presents significant privacy concerns and potential for misuse, which outweighs any immediate benefits for now."
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It enables quicker, more decisive action, especially in crucial policy areas, fostering greater efficiency."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,Investing in workers' skills fosters economic growth and social inclusion across member states.
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"It can improve efficiency, reduce costs, and strengthen collective defense capabilities for the EU."
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,Equal rights and non-discrimination should extend to all citizens regardless of their sexual orientation.
21,EU Common Army,The EU should have a common army.,Disagree,A common army would undermine national sovereignty and potentially complicate international relations.
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Leveraging aid can incentivize cooperation on returns, addressing concerns about immigration management and policy effectiveness."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often have limited access to healthcare; more funding could improve this.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public investment accelerates innovation, benefiting society through cleaner energy and a healthier planet."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"The EU budget should prioritize peace-building, humanitarian aid, and other non-military initiatives."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"This incentivizes companies to reduce emissions and promotes a cleaner, more sustainable future."
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,"EU membership would bolster Ukraine's security, economy, and democratic institutions, aligning it with Europe."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund could improve border security and manage migration effectively, promoting stability."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tighter rules ensure fair competition and prevent market distortions across the European Union.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It could streamline processes, improve cross-border benefits access, and combat fraud within the EU."
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,Penalizing unequal pay promotes fairness and incentivizes companies to address gender pay gaps.
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,"Funding should be contingent on upholding democratic values, ensuring accountability and respecting the rule of law."
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,A fixed retirement age limits individual choice and potentially valuable experience.
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,"It prioritizes animal welfare and could improve standards, reducing potential suffering during transport and slaughter."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,Free movement of people within the EU implies equal access to social assistance for all citizens.
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Coal significantly harms the environment; public funds should support sustainable energy sources instead.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Subsidies encourage unsustainable practices that harm the environment and animal welfare; reform is needed.
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,Unpaid internships exploit young workers and create barriers to entry for those with fewer resources.
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"It could protect domestic industries and level the playing field, but may increase prices."
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing weapons helps Ukraine defend itself and deter further aggression from Russia.
