Question Number,Title,Questions,Option,Reason
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,Prioritizing animal welfare by preventing potential suffering during long journeys and uncertain conditions.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,"It promotes inclusivity and recognizes diverse gender identities, aligning with the EU's values of equality and respect."
21,EU Common Army,The EU should have a common army.,Disagree,A common army could undermine national sovereignty and might not address diverse security needs effectively.
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,This promotes equal opportunity by offsetting financial barriers and enabling wider participation in the program.
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,Complete bans can hinder effective agricultural practices and available alternative solutions need more research.
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,"This could protect domestic markets and encourage fair competition, but might raise consumer prices."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"Protecting the EU's borders is essential for security, and dedicated funding ensures adequate resources are available."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement can enhance interoperability, reduce costs, and strengthen the EU's defense capabilities."
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,"Funding should be tied to respecting core EU values, like the rule of law, to ensure accountability and uphold standards."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes reducing emissions, promoting sustainability and mitigating the harmful effects of climate change."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Disagree,"New taxes could burden citizens and businesses, potentially hindering economic growth within the EU."
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizens and promotes global awareness.
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Everyone deserves equal rights, and the state shouldn't dictate who people can marry."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Flexibility allows for more effective responses to economic downturns and promotes growth through increased spending.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Subsidies often support environmentally damaging practices and contribute to climate change.
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,"Increased transparency empowers consumers to make sustainable choices, which promotes environmentally friendly practices and products."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU oversight ensures media pluralism, supports democratic values, and fosters accountability within member states."
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining initiatives are vital for economic growth, bridging skills gaps and reducing unemployment across member states."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,Linking aid to cooperation on returns creates leverage for managing migration flows effectively and fairly.
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Russia's actions warrant continued pressure to encourage a change in behavior and uphold international law.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Public access could compromise competitive advantage and sensitive business information, harming innovation."
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Public funds should support sustainable energy sources and reduce environmental harm caused by coal.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,"It would streamline social security across borders, aiding mobility and simplifying administrative processes for citizens."
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit labor and hinder equal access to professional experience, violating fair labor principles."
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Agree,"National resources should primarily benefit those who have contributed to the system, not those newly arrived."
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Supplying weapons can help Ukraine defend itself and deter further aggression from Russia.
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger OLAF powers are vital for protecting EU funds and upholding ethical governance across the Union.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It's crucial for energy equity, reducing financial burdens, and promoting sustainable energy adoption within Europe."
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,Retirement age should be flexible and depend on individual circumstances and national policies.
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,"Rural areas often face healthcare shortages, and more funding can help improve accessibility and quality."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,"Investing in early childhood education benefits children, families, and society, promoting equality and development."
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,"Platforms left to their own devices may prioritize profit over stopping harmful disinformation, which is bad."
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Penalizing unequal pay promotes fairness, addresses gender disparity, and encourages companies to take corrective actions."
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"EU funds should prioritize peace and security, not the development of weapons for military use."
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funds can accelerate development & deployment of these technologies, benefitting society and the environment."
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"Faster decision-making and stronger foreign policy are needed, even if some countries disagree."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tightening rules ensures fair competition and prevents market distortions across the European Union.
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would increase democratic legitimacy and accountability to the European citizenry.
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,Privacy outweighs security. Risks of misuse and surveillance are too great to justify its widespread use.
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,"EU membership offers Ukraine security, economic opportunity, and strengthens its commitment to democratic values."
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,Ecological practices benefit the environment and deserve financial incentives to encourage wider adoption.
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Skilled workers can fill labor gaps and boost economic growth across the EU.
