Question Number,Title,Questions,Option,Reason
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,Providing Ukraine with more weapons is essential for its defense against ongoing aggression and maintaining its sovereignty.
28,European Social Security Number,The EU should introduce a European social security number.,Agree,It could streamline cross-border benefits and simplify employment across EU member states.
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Subsidies can incentivize practices with negative environmental and ethical impacts; their removal promotes sustainability.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Recognizing diverse gender identities in passports promotes inclusivity and acknowledges individual self-identification.
36,Environmental impact labeling,All food products sold in the EU should have a label indicating their environmental impact.,Agree,Increased transparency would empower consumers to make more sustainable food choices and drive change.
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, fostering sustainable practices and mitigating climate change."
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,Unanimity hinders swift action; qualified majority voting allows for more effective responses in crises.
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund would help manage and finance border security, improving control and safety."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"Aid leverage can encourage cooperation on returns, addressing asylum system challenges and promoting fairness."
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,"Facilitates economic growth, addresses labor shortages, and fosters cultural exchange within the EU."
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,Ukraine's EU membership would strengthen Europe and support Ukraine's democratic aspirations and economic growth.
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,People's physical and mental capabilities differ; a fixed age limit is too restrictive and unfair.
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,Investing in early childhood education fosters societal equality and provides essential support for working families.
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,Flexibility during economic hardship is important for member states to stimulate growth and stability.
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Marriage equality promotes human rights, providing equal opportunities and recognition for all loving couples."
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It promotes equity and ensures a just energy transition for vulnerable populations, reducing energy poverty."
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often face healthcare disparities; increased funding would improve access and outcomes.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding fosters innovation, accelerating the development and deployment of crucial sustainable solutions."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Disagree,"A complete ban could harm agriculture. Alternative solutions should be considered, promoting sustainable farming."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"It's crucial for upholding democratic values, media pluralism, and consistent broadcasting standards across the EU."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,This protects domestic industries and encourages fair competition within the electric vehicle market.
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would enhance democratic legitimacy and accountability to the EU citizenry.
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Agree,Free movement shouldn't automatically grant full welfare; residency duration/contribution should be a factor.
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Continued sanctions pressure Russia to cease aggression and adhere to international law.
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,"Public funds should prioritize cleaner energy sources, reducing emissions and promoting sustainability for the future."
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizenship in the modern world; it promotes global awareness.
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Retraining supports workers' skills, boosts economic growth, and improves employment opportunities within the EU."
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit workers, undermining fair labor practices and hindering equitable access to opportunities."
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers for OLAF would likely improve effectiveness in combating financial crimes within the EU.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,"It incentivizes sustainable agriculture, promoting biodiversity and environmentally friendly farming methods."
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,"Protecting the rule of law is paramount, and funding should be contingent on upholding those values."
14,New European taxes,Do you support introducing new European taxes to finance the EU budget?,Agree,"It could lead to a more stable and sustainable EU budget, fostering long-term planning and initiatives."
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Penalties incentivize fair practices, promoting gender equality and addressing systemic biases in compensation structures."
25,Joint Military Procurement,EU member states should jointly purchase military equipment.,Agree,"Joint procurement enhances efficiency, reduces costs, and fosters greater military interoperability within the EU."
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,"Unfettered control risks prioritizing profit over truth, potentially amplifying harmful content and misinformation."
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,"Animal welfare is paramount, and export conditions are often cruel and detrimental to their well-being."
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,Equity demands that those with greater financial need should receive more support for mobility.
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"The EU budget should prioritize peace-building and humanitarian aid, not the development of weapons."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tighter rules could foster fairer competition and prevent distortion of the single market.
21,EU Common Army,The EU should have a common army.,Disagree,A common army risks sovereignty; defense is best managed with national nuances and international cooperation.
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,It poses significant privacy risks and could lead to disproportionate surveillance without proper oversight.
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,Full public access may compromise sensitive business information and potentially harm competitiveness.
