Question Number,Title,Questions,Option,Reason
20,Stop subsidies for intensive livestock farming,Should the EU stop subsidizing intensive livestock farming?,Agree,Subsidies often support practices with negative environmental impacts; phasing them out is beneficial.
39,Strengthening OLAF powers,"The EU should strengthen the powers of the independent authority (OLAF) to fight fraud, corruption, and money laundering.",Agree,Stronger powers will enable OLAF to more effectively investigate and prosecute financial crimes.
1,Enforcement of EU laws and values,The EU should continue to stop funding member states that violate the rule of law.,Agree,Upholding the rule of law is crucial; funding should be contingent on respecting EU values.
21,EU Common Army,The EU should have a common army.,Disagree,National sovereignty and diverse military priorities make a unified EU army impractical and difficult to manage.
12,EU budget for weapons development,Should the development of weapons be financed from the EU budget?,Disagree,"The EU budget should prioritize peace-building and humanitarian aid, not funding weapons development."
32,Ban on export of live farm animals,There should be a ban on exporting live farm animals outside the EU.,Agree,"Animal welfare should be prioritized, and export conditions often fail to ensure humane treatment."
13,Fund for border defense,Should there be a special fund for building defensive fortifications on the EU’s external borders?,Agree,"A dedicated fund can help finance effective border security, crucial for managing migration and safety."
22,Public Access to Company Data,Should commercial data of companies in all EU countries be made available to the public?,Disagree,"Sensitive commercial data could harm companies, hindering innovation, and potentially leading to unfair competition."
34,Easier relocation for skilled workers,It should be easier for qualified workers to move to the European Union.,Agree,Increased skilled labor mobility boosts economic growth and fills crucial labor shortages within the EU.
8,Same-sex marriage ban,The ban on same-sex marriage should be abolished in all EU countries.,Agree,"Equality demands all citizens have the same rights, including the right to marry."
41,Election of the President of the Commission,The President of the European Commission should be directly elected by EU citizens.,Agree,Direct election would enhance democratic legitimacy and make the Commission more accountable to voters.
24,Sanctions against Russia,The EU should maintain sanctions against Russia.,Agree,Russia's actions necessitate continued pressure to encourage a change in behavior and uphold international norms.
9,More funding for rural healthcare,The EU should provide more money for healthcare in rural areas.,Agree,Rural areas often face healthcare disparities and require additional resources for better access and quality.
30,Capping the Retirement Age,Should the EU cap the retirement age?,Disagree,It limits individual autonomy and could negatively impact the workforce due to experience loss.
4,Abolition of unanimity principle,"The EU should abolish the principle of unanimity (give up the right of veto) in foreign, defense, and security policy.",Agree,"It would allow for quicker, more decisive action, crucial for effective foreign policy decision-making."
3,Higher CO2 taxes,Companies should pay more for their CO2 emissions.,Agree,"It incentivizes emission reduction, promoting a cleaner environment and encouraging sustainable business practices long-term."
27,Ban on Funding Coal-Fired Power Plants,Should the financing of coal-fired power plants from public funds be banned?,Agree,Public funds should prioritize sustainable energy sources and mitigate the negative environmental impact of coal.
5,Fight against disinformation,Social networks should decide for themselves how to deal with disinformation spread on their platforms.,Disagree,Unfettered control risks biased enforcement and insufficient action against harmful disinformation.
15,Financing the transition to renewable energy,Should the EU finance the transition of poorer households to renewable energy sources?,Agree,"It's a matter of fairness and economic equality, ensuring everyone can benefit from clean energy."
19,Ban on glyphosate pesticides,Should the EU completely ban pesticides containing glyphosate?,Agree,"Glyphosate's potential health and environmental risks outweigh its agricultural benefits, warranting a ban."
11,Rules for state aid to industry,Should the EU tighten rules for state aid to industry?,Agree,Tightening rules promotes fair competition and prevents market distortions within the European Union.
18,Adding EU-related topics to school curricula,Should school curricula be supplemented with topics related to the EU?,Agree,Understanding the EU is crucial for informed citizenship in the modern world and its interconnectedness.
38,Restricted social assistance,Access to social assistance should be limited for citizens of other EU states living in a given country.,Disagree,"Restricting access undermines freedom of movement, a core EU principle, and can create discrimination."
6,Budget deficit,The EU should allow member states to have a higher budget deficit.,Agree,It could provide flexibility for economic stimulus and address specific national economic challenges effectively.
26,Facial Recognition Ban,Should the EU ban automatic facial recognition in public places?,Agree,Facial recognition in public raises serious privacy concerns and potential for misuse.
17,Financing retraining programs,Should the EU finance programs for retraining workers?,Agree,"Investing in workforce skills boosts economic growth, reduces unemployment, and supports social cohesion within the EU."
33,Higher import duties on Chinese electric cars,Import duties on Chinese electric cars should be increased.,Agree,It could protect domestic industries and level the playing field against potentially subsidized competition.
29,Penalties for Unequal Pay,The EU should penalize companies for unequal pay between women and men.,Agree,"Penalizing companies promotes fairness and encourages equal pay, a fundamental principle of justice and equality."
40,Ukraine’s EU membership,Ukraine should become a member of the European Union.,Agree,"It strengthens Ukraine, promotes European unity, and supports democratic values, furthering stability."
28,European Social Security Number,The EU should introduce a European social security number.,Agree,It could streamline social security benefits and facilitate easier cross-border employment within the EU.
35,Third gender category in passports,The EU should recommend that member states add a third gender category to their passports.,Agree,Recognizing diverse gender identities in passports promotes inclusivity and human rights across member states.
42,Erasmus+ scholarships,Students with fewer resources should be able to receive a higher Erasmus+ scholarship than students with more means.,Agree,It promotes equitable access and ensures financial barriers don't prevent participation in the program.
23,Ecological Farming Support,The EU should pay more money to farmers who use ecological practices.,Agree,"It incentivizes sustainable farming, benefiting the environment, and promoting long-term food security in Europe."
31,Abolition of unpaid internships,The EU should abolish unpaid internships in vocational training.,Agree,"Unpaid internships exploit young workers, hindering fair access to professional development opportunities, and perpetuate inequality."
7,Development aid and immigration,The EU should limit development aid to countries that refuse to take back rejected asylum seekers.,Agree,"It incentivizes cooperation on returns, potentially easing pressure on EU countries and deterring future abuse."
16,Support for kindergartens and childcare groups,Should the EU support the development of kindergartens and childcare groups?,Agree,Investing in early childhood education is crucial for social equality and future workforce development.
37,Investments in sustainable technologies,More public money should be provided for investments in sustainable technologies.,Agree,"Public funding accelerates development, benefiting society and the economy through green innovation and job creation."
2,Assistance to Ukraine,The EU should finance more weapons for Ukraine.,Agree,"Providing weapons strengthens Ukraine's defense, potentially shortening the war and saving lives."
10,Public service media,The EU should continue to actively be interested in how public service media operate in member states.,Agree,"EU interest ensures media diversity and accountability, supporting democratic values across member states."
